team1,team2,team3,team4,team5,team6,blue_score,red_score,winner
frc2052,frc5172,frc3026,frc4607,frc3102,frc3184,89,74,blue
frc2052,frc5172,frc3026,frc4607,frc3102,frc3184,81,68,blue
frc2052,frc5172,frc3026,frc3007,frc4207,frc3244,92,55,blue
frc2052,frc5172,frc3026,frc3007,frc4207,frc3244,94,70,blue
frc4198,frc5913,frc3751,frc2823,frc2508,frc3630,61,46,blue
frc4198,frc5913,frc3751,frc2823,frc2508,frc3630,70,74,red
frc4198,frc5913,frc3751,frc2823,frc2508,frc3630,57,71,red
frc7028,frc2987,frc4536,frc2509,frc5232,frc2500,69,61,blue
frc7028,frc2987,frc4536,frc2509,frc5232,frc2500,55,61,red
frc7028,frc2987,frc4536,frc2509,frc5232,frc2500,81,47,blue
frc4607,frc3102,frc3184,frc5464,frc2502,frc5434,78,58,blue
frc4607,frc3102,frc3184,frc2232,frc2502,frc5434,87,47,blue
frc7038,frc2052,frc5232,frc2855,frc3058,frc2513,57,40,blue
frc3184,frc3038,frc3023,frc2823,frc2987,frc5434,39,71,red
frc2513,frc2509,frc2879,frc3751,frc2518,frc2532,42,48,red
frc2515,frc2480,frc3007,frc3745,frc5232,frc2825,38,40,red
frc3102,frc2846,frc2498,frc5913,frc5464,frc3058,39,60,red
frc5996,frc5172,frc3298,frc4198,frc5541,frc2181,68,56,blue
frc4536,frc2530,frc4549,frc3299,frc4229,frc3407,47,41,blue
frc4207,frc3751,frc3630,frc4607,frc3244,frc3023,42,40,blue
frc2501,frc2855,frc7068,frc5637,frc2987,frc2500,45,67,red
frc2470,frc7180,frc6709,frc5434,frc3134,frc3202,39,40,red
frc7850,frc3871,frc4664,frc3026,frc2509,frc3038,19,55,red
frc4229,frc4607,frc4198,frc2825,frc7028,frc2532,49,54,red
frc2232,frc3184,frc7028,frc2052,frc3055,frc2508,74,59,blue
frc7038,frc2823,frc2529,frc2502,frc3454,frc2879,47,40,blue
frc3745,frc2515,frc5637,frc2987,frc2846,frc2530,31,68,red
frc3630,frc2501,frc7180,frc4207,frc2181,frc3007,49,66,red
frc2480,frc2470,frc3038,frc2498,frc4549,frc4607,39,59,red
frc3751,frc7028,frc2052,frc7850,frc2825,frc5172,71,51,blue
frc3454,frc5541,frc2532,frc2232,frc3134,frc2508,42,45,red
frc3058,frc3244,frc4229,frc2529,frc7068,frc3871,81,47,blue
frc4198,frc6709,frc3055,frc5232,frc2879,frc3102,46,46,tie
frc3202,frc3023,frc4536,frc2518,frc5464,frc3026,35,51,red
frc4549,frc3134,frc2846,frc2181,frc7850,frc2501,27,23,blue
frc2509,frc5913,frc2500,frc2513,frc3298,frc2823,69,40,blue
frc3299,frc2502,frc5996,frc2855,frc3184,frc4664,51,55,red
frc3407,frc2532,frc2052,frc5434,frc7038,frc3871,61,46,blue
frc2181,frc5637,frc7028,frc3102,frc3038,frc2515,61,62,red
frc2987,frc5464,frc2232,frc4229,frc2470,frc3751,47,35,blue
frc3298,frc3630,frc3058,frc7180,frc3454,frc2825,48,9,blue
frc7068,frc4536,frc3745,frc2508,frc2513,frc2498,57,52,blue
frc5434,frc5913,frc2480,frc5996,frc3026,frc3055,69,27,blue
frc2529,frc3023,frc2855,frc6709,frc5541,frc7850,20,34,red
frc3007,frc4607,frc5232,frc4664,frc3407,frc2518,54,17,blue
frc3871,frc2518,frc3630,frc2480,frc2502,frc7068,42,70,red
frc4549,frc2509,frc4207,frc2500,frc7038,frc2502,47,55,red
frc2823,frc2879,frc2846,frc5172,frc2530,frc3134,26,61,red
frc3244,frc3202,frc4198,frc3184,frc3299,frc2501,55,24,blue
frc2513,frc3026,frc3871,frc2515,frc3630,frc5541,40,60,red
frc2181,frc2855,frc2480,frc2529,frc2232,frc3407,41,43,red
frc2502,frc3007,frc5637,frc3023,frc3058,frc5434,61,42,blue
frc2052,frc4607,frc2509,frc3055,frc2987,frc4536,78,61,blue
frc2825,frc4664,frc4198,frc2530,frc4207,frc3202,41,54,red
frc4229,frc2518,frc2508,frc6709,frc2501,frc5996,54,39,blue
frc3102,frc7850,frc3299,frc3745,frc2470,frc2823,69,63,blue
frc3007,frc2508,frc2470,frc5913,frc2529,frc2530,49,49,tie
frc4549,frc2500,frc5464,frc2879,frc2532,frc3244,40,40,tie
frc2498,frc5232,frc3184,frc5172,frc3751,frc3454,43,65,red
frc3134,frc7068,frc7180,frc7028,frc5913,frc7038,48,77,red
frc3038,frc4536,frc4229,frc2846,frc3298,frc2855,52,42,blue
frc2825,frc2513,frc3407,frc3055,frc5637,frc2470,17,41,red
frc2879,frc2515,frc3058,frc2509,frc5996,frc2232,55,53,blue
frc7850,frc2508,frc3244,frc5232,frc4198,frc5434,54,50,blue
frc2532,frc3102,frc7180,frc3023,frc2480,frc2501,36,31,blue
frc5913,frc3630,frc3299,frc3038,frc2052,frc5172,42,62,red
frc4607,frc3026,frc3454,frc2502,frc2181,frc5464,64,77,red
frc3745,frc3055,frc5464,frc7180,frc4207,frc5172,33,69,red
frc7038,frc2846,frc7068,frc3298,frc4664,frc3751,50,38,blue
frc3202,frc2823,frc5541,frc4549,frc7028,frc3007,52,61,red
frc2518,frc3745,frc2529,frc3134,frc2500,frc3184,38,62,red
frc4207,frc2498,frc2987,frc3871,frc6709,frc2530,79,60,blue
frc3630,frc2181,frc5232,frc2532,frc4536,frc2470,59,45,blue
frc2508,frc5172,frc3058,frc3407,frc2515,frc4607,76,68,blue
frc5464,frc5434,frc2509,frc3299,frc7068,frc5541,64,55,blue
frc2502,frc3202,frc7850,frc5637,frc2480,frc4229,66,47,blue
frc2846,frc3184,frc3026,frc7028,frc4207,frc2513,52,38,blue
frc3134,frc3007,frc3298,frc2052,frc2498,frc3244,57,76,red
frc5996,frc2498,frc2515,frc2500,frc3407,frc3202,35,26,blue
frc2825,frc7038,frc5996,frc2987,frc2529,frc3102,40,54,red
frc2530,frc2500,frc2518,frc7180,frc2232,frc3038,64,38,blue
frc3454,frc6709,frc3745,frc4198,frc4549,frc5913,30,81,red
frc3871,frc3751,frc2855,frc2501,frc2823,frc3055,31,51,red
frc3023,frc2879,frc2181,frc2498,frc4229,frc4664,36,43,red
frc2532,frc5232,frc2987,frc3026,frc3202,frc2529,61,43,blue
frc7028,frc5172,frc2470,frc4536,frc3058,frc2500,76,51,blue
frc3407,frc3244,frc6709,frc2509,frc2825,frc2846,48,39,blue
frc5637,frc2508,frc4207,frc2480,frc3299,frc2823,47,46,blue
frc3038,frc2501,frc3751,frc5541,frc3745,frc2502,47,51,red
frc4664,frc5541,frc4536,frc3244,frc3454,frc3102,29,65,red
frc4664,frc3102,frc3134,frc3630,frc2855,frc2232,47,66,red
frc5464,frc4198,frc7850,frc3007,frc2513,frc7038,64,46,blue
frc3184,frc7180,frc5913,frc4607,frc3871,frc2879,57,57,tie
frc2530,frc3023,frc3454,frc7068,frc5996,frc2052,27,72,red
frc3055,frc5434,frc2515,frc2518,frc3298,frc4549,37,46,red
